"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"68","Jan.",3,"Friday",2017,"Philadelphia, PA",683,88,0.114137483787289
"69","Jan.",3,"Friday",2018,"Philadelphia, PA",189,24,0.112676056338028
"70","Jan.",3,"Monday",2015,"Philadelphia, PA",250,80,0.242424242424242
"71","Jan.",3,"Monday",2016,"Boston, MA",186,58,0.237704918032787
"72","Jan.",3,"Monday",2016,"New York, NY",315,42,0.117647058823529
"73","Jan.",3,"Monday",2016,"Philadelphia, PA",440,101,0.186691312384473
"74","Jan.",3,"Monday",2017,"Philadelphia, PA",491,161,0.246932515337423
"75","Jan.",3,"Monday",2018,"Philadelphia, PA",374,84,0.183406113537118
"76","Jan.",3,"Saturday",2015,"Philadelphia, PA",257,37,0.125850340136054
"77","Jan.",3,"Saturday",2016,"Boston, MA",115,22,0.160583941605839
"78","Jan.",3,"Saturday",2016,"New York, NY",52,2,0.037037037037037
"79","Jan.",3,"Saturday",2016,"Philadelphia, PA",326,70,0.176767676767677
"80","Jan.",3,"Saturday",2017,"Philadelphia, PA",376,38,0.0917874396135266
"81","Jan.",3,"Saturday",2018,"Philadelphia, PA",238,13,0.051792828685259
"82","Jan.",3,"Sunday",2015,"Philadelphia, PA",153,43,0.219387755102041
"83","Jan.",3,"Sunday",2016,"Boston, MA",123,26,0.174496644295302
"84","Jan.",3,"Sunday",2016,"New York, NY",68,12,0.15
"85","Jan.",3,"Sunday",2016,"Philadelphia, PA",434,63,0.126760563380282
"86","Jan.",3,"Sunday",2017,"Philadelphia, PA",385,35,0.0833333333333333
"87","Jan.",3,"Sunday",2018,"Philadelphia, PA",355,18,0.0482573726541555
"88","Jan.",3,"Thursday",2015,"Philadelphia, PA",231,93,0.287037037037037
"89","Jan.",3,"Thursday",2016,"Boston, MA",148,16,0.0975609756097561
"90","Jan.",3,"Thursday",2016,"New York, NY",203,45,0.181451612903226
"91","Jan.",3,"Thursday",2016,"Philadelphia, PA",564,108,0.160714285714286
"92","Jan.",3,"Thursday",2017,"Philadelphia, PA",555,103,0.156534954407295
"93","Jan.",3,"Thursday",2018,"Philadelphia, PA",324,45,0.121951219512195
"94","Jan.",3,"Tuesday",2015,"Philadelphia, PA",486,110,0.184563758389262
"95","Jan.",3,"Tuesday",2016,"Boston, MA",163,39,0.193069306930693
"96","Jan.",3,"Tuesday",2016,"New York, NY",173,23,0.11734693877551
"97","Jan.",3,"Tuesday",2016,"Philadelphia, PA",381,58,0.132118451025057
"98","Jan.",3,"Tuesday",2017,"Philadelphia, PA",585,118,0.167852062588905
"99","Jan.",3,"Tuesday",2018,"Philadelphia, PA",504,97,0.161397670549085
"100","Jan.",3,"Wednesday",2015,"Philadelphia, PA",439,121,0.216071428571429
"101","Jan.",3,"Wednesday",2016,"Boston, MA",122,25,0.170068027210884
"102","Jan.",3,"Wednesday",2016,"New York, NY",142,25,0.149700598802395
"103","Jan.",3,"Wednesday",2016,"Philadelphia, PA",521,160,0.234948604992658
"104","Jan.",3,"Wednesday",2017,"Philadelphia, PA",794,123,0.134133042529989
"105","Jan.",3,"Wednesday",2018,"Philadelphia, PA",532,58,0.0983050847457627
"106","Jan.",4,"Friday",2015,"Philadelphia, PA",410,120,0.226415094339623
"107","Jan.",4,"Friday",2016,"Boston, MA",267,35,0.115894039735099
"108","Jan.",4,"Friday",2016,"New York, NY",188,40,0.175438596491228
"109","Jan.",4,"Friday",2016,"Philadelphia, PA",633,110,0.148048452220727
"110","Jan.",4,"Friday",2017,"Philadelphia, PA",298,23,0.0716510903426791
"111","Jan.",4,"Friday",2018,"Philadelphia, PA",438,35,0.0739957716701903
"112","Jan.",4,"Monday",2015,"Philadelphia, PA",303,94,0.236775818639798
"113","Jan.",4,"Monday",2016,"Boston, MA",196,30,0.132743362831858
"114","Jan.",4,"Monday",2016,"New York, NY",108,24,0.181818181818182
"115","Jan.",4,"Monday",2016,"Philadelphia, PA",465,124,0.210526315789474
"116","Jan.",4,"Monday",2017,"Philadelphia, PA",518,88,0.145214521452145
"117","Jan.",4,"Monday",2018,"Philadelphia, PA",465,30,0.0606060606060606
"118","Jan.",4,"Saturday",2015,"Philadelphia, PA",251,16,0.0599250936329588
"119","Jan.",4,"Saturday",2016,"Boston, MA",94,12,0.113207547169811
"120","Jan.",4,"Saturday",2016,"New York, NY",89,33,0.270491803278689
"121","Jan.",4,"Saturday",2016,"Philadelphia, PA",221,58,0.207885304659498
"122","Jan.",4,"Saturday",2017,"Philadelphia, PA",296,32,0.0975609756097561
"123","Jan.",4,"Saturday",2018,"Philadelphia, PA",249,22,0.0811808118081181
"124","Jan.",4,"Sunday",2015,"Philadelphia, PA",227,29,0.11328125
"125","Jan.",4,"Sunday",2016,"Boston, MA",96,14,0.127272727272727
"126","Jan.",4,"Sunday",2016,"New York, NY",139,23,0.141975308641975
"127","Jan.",4,"Sunday",2016,"Philadelphia, PA",207,41,0.165322580645161
"128","Jan.",4,"Sunday",2017,"Philadelphia, PA",208,32,0.133333333333333
"129","Jan.",4,"Sunday",2018,"Philadelphia, PA",228,14,0.0578512396694215
"130","Jan.",4,"Thursday",2015,"Philadelphia, PA",236,76,0.243589743589744
"131","Jan.",4,"Thursday",2016,"Boston, MA",184,32,0.148148148148148
"132","Jan.",4,"Thursday",2016,"New York, NY",201,21,0.0945945945945946
"133","Jan.",4,"Thursday",2016,"Philadelphia, PA",449,99,0.180656934306569
"134","Jan.",4,"Thursday",2017,"Philadelphia, PA",467,79,0.144688644688645
"135","Jan.",4,"Thursday",2018,"Philadelphia, PA",490,79,0.13884007029877
"136","Jan.",4,"Tuesday",2015,"Philadelphia, PA",357,107,0.230603448275862
"137","Jan.",4,"Tuesday",2016,"Boston, MA",255,22,0.0794223826714801
"138","Jan.",4,"Tuesday",2016,"New York, NY",253,45,0.151006711409396
"139","Jan.",4,"Tuesday",2016,"Philadelphia, PA",550,122,0.181547619047619
"140","Jan.",4,"Tuesday",2017,"Philadelphia, PA",529,50,0.0863557858376511
"141","Jan.",4,"Tuesday",2018,"Philadelphia, PA",306,38,0.11046511627907
"142","Jan.",4,"Wednesday",2015,"Philadelphia, PA",148,31,0.173184357541899
"143","Jan.",4,"Wednesday",2016,"Boston, MA",343,95,0.21689497716895
"144","Jan.",4,"Wednesday",2016,"New York, NY",208,40,0.161290322580645
"145","Jan.",4,"Wednesday",2016,"Philadelphia, PA",613,208,0.253349573690621
"146","Jan.",4,"Wednesday",2017,"Philadelphia, PA",567,70,0.10989010989011
"147","Jan.",4,"Wednesday",2018,"Philadelphia, PA",319,27,0.0780346820809249
"148","Jan.",5,"Friday",2015,"Philadelphia, PA",247,70,0.220820189274448
"149","Jan.",5,"Friday",2016,"Boston, MA",62,17,0.215189873417722
"150","Jan.",5,"Friday",2016,"New York, NY",254,26,0.0928571428571429
"151","Jan.",5,"Friday",2016,"Philadelphia, PA",581,89,0.132835820895522
"152","Jan.",5,"Friday",2017,"Philadelphia, PA",615,106,0.147018030513176
"153","Jan.",5,"Monday",2015,"Philadelphia, PA",287,34,0.105919003115265
"154","Jan.",5,"Monday",2016,"Boston, MA",114,23,0.167883211678832
"155","Jan.",5,"Monday",2016,"New York, NY",275,62,0.183976261127596
"156","Jan.",5,"Monday",2016,"Philadelphia, PA",334,128,0.277056277056277
"157","Jan.",5,"Monday",2017,"Philadelphia, PA",329,116,0.260674157303371
"158","Jan.",5,"Monday",2018,"Philadelphia, PA",217,31,0.125
"159","Jan.",5,"Saturday",2015,"Philadelphia, PA",247,22,0.0817843866171004
"160","Jan.",5,"Saturday",2016,"Boston, MA",39,8,0.170212765957447
"161","Jan.",5,"Saturday",2016,"New York, NY",52,6,0.103448275862069
"162","Jan.",5,"Saturday",2016,"Philadelphia, PA",392,46,0.105022831050228
"163","Jan.",5,"Saturday",2017,"Philadelphia, PA",468,69,0.128491620111732
"164","Jan.",5,"Sunday",2016,"Boston, MA",47,12,0.203389830508475
"165","Jan.",5,"Sunday",2016,"New York, NY",216,5,0.0226244343891403
"166","Jan.",5,"Sunday",2016,"Philadelphia, PA",446,45,0.0916496945010183
"167","Jan.",5,"Sunday",2017,"Philadelphia, PA",358,52,0.126829268292683
