"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"597","April",5,"Wednesday",2016,"New York, NY",107,26,0.195488721804511
"598","April",5,"Wednesday",2016,"Philadelphia, PA",448,138,0.235494880546075
"599","April",5,"Wednesday",2017,"Philadelphia, PA",154,6,0.0375
"600","May",1,"Friday",2015,"Philadelphia, PA",360,12,0.032258064516129
"601","May",1,"Friday",2017,"Philadelphia, PA",449,30,0.0626304801670146
"602","May",1,"Saturday",2015,"Philadelphia, PA",285,3,0.0104166666666667
"603","May",1,"Saturday",2017,"Philadelphia, PA",285,23,0.0746753246753247
"604","May",1,"Sunday",2015,"Philadelphia, PA",251,1,0.00396825396825397
"605","May",1,"Sunday",2016,"New York, NY",24,4,0.142857142857143
"606","May",1,"Sunday",2016,"Philadelphia, PA",419,45,0.0969827586206897
"607","May",1,"Sunday",2017,"Philadelphia, PA",345,20,0.0547945205479452
"608","May",2,"Friday",2015,"Philadelphia, PA",491,7,0.0140562248995984
"609","May",2,"Friday",2016,"Philadelphia, PA",331,25,0.0702247191011236
"610","May",2,"Friday",2017,"Philadelphia, PA",444,41,0.0845360824742268
"611","May",2,"Monday",2015,"Philadelphia, PA",291,13,0.0427631578947368
"612","May",2,"Monday",2016,"Philadelphia, PA",478,64,0.118081180811808
"613","May",2,"Monday",2017,"Philadelphia, PA",499,65,0.115248226950355
"614","May",2,"Saturday",2015,"Philadelphia, PA",339,1,0.00294117647058824
"615","May",2,"Saturday",2016,"Philadelphia, PA",466,48,0.0933852140077821
"616","May",2,"Saturday",2017,"Philadelphia, PA",201,16,0.0737327188940092
"617","May",2,"Sunday",2015,"Philadelphia, PA",305,10,0.0317460317460317
"618","May",2,"Sunday",2016,"Philadelphia, PA",275,26,0.0863787375415282
"619","May",2,"Sunday",2017,"Philadelphia, PA",266,29,0.0983050847457627
"620","May",2,"Thursday",2015,"Philadelphia, PA",449,9,0.0196506550218341
"621","May",2,"Thursday",2016,"Philadelphia, PA",702,60,0.078740157480315
"622","May",2,"Thursday",2017,"Philadelphia, PA",694,66,0.0868421052631579
"623","May",2,"Tuesday",2015,"Philadelphia, PA",401,35,0.0802752293577982
"624","May",2,"Tuesday",2016,"Philadelphia, PA",454,59,0.115009746588694
"625","May",2,"Tuesday",2017,"Philadelphia, PA",306,30,0.0892857142857143
"626","May",2,"Wednesday",2015,"Philadelphia, PA",446,6,0.0132743362831858
"627","May",2,"Wednesday",2016,"Philadelphia, PA",479,79,0.1415770609319
"628","May",2,"Wednesday",2017,"Philadelphia, PA",588,50,0.0783699059561129
"629","May",3,"Friday",2015,"Philadelphia, PA",408,13,0.0308788598574822
"630","May",3,"Friday",2016,"Philadelphia, PA",474,33,0.0650887573964497
"631","May",3,"Monday",2015,"Philadelphia, PA",286,13,0.0434782608695652
"632","May",3,"Monday",2016,"Philadelphia, PA",226,24,0.096
"633","May",3,"Monday",2017,"Philadelphia, PA",359,38,0.0957178841309824
"634","May",3,"Saturday",2015,"Philadelphia, PA",236,6,0.0247933884297521
"635","May",3,"Saturday",2016,"Philadelphia, PA",248,20,0.0746268656716418
"636","May",3,"Sunday",2015,"Philadelphia, PA",200,2,0.0099009900990099
"637","May",3,"Sunday",2016,"Philadelphia, PA",248,43,0.147766323024055
"638","May",3,"Thursday",2015,"Philadelphia, PA",591,10,0.0166389351081531
"639","May",3,"Thursday",2016,"Philadelphia, PA",423,51,0.107594936708861
"640","May",3,"Tuesday",2015,"Philadelphia, PA",487,7,0.01417004048583
"641","May",3,"Tuesday",2016,"Philadelphia, PA",459,54,0.105263157894737
"642","May",3,"Tuesday",2017,"Philadelphia, PA",478,48,0.091254752851711
"643","May",3,"Wednesday",2015,"Philadelphia, PA",539,2,0.00369685767097967
"644","May",3,"Wednesday",2016,"Philadelphia, PA",344,56,0.14
"645","May",3,"Wednesday",2017,"Philadelphia, PA",634,75,0.105782792665726
"646","May",4,"Friday",2015,"Philadelphia, PA",386,4,0.0102564102564103
"647","May",4,"Friday",2016,"Philadelphia, PA",498,49,0.0895795246800731
"648","May",4,"Monday",2015,"Philadelphia, PA",556,42,0.0702341137123746
"649","May",4,"Monday",2016,"Philadelphia, PA",289,56,0.16231884057971
"650","May",4,"Saturday",2015,"Philadelphia, PA",272,2,0.0072992700729927
"651","May",4,"Saturday",2016,"Philadelphia, PA",126,7,0.0526315789473684
"652","May",4,"Sunday",2015,"Philadelphia, PA",276,3,0.010752688172043
"653","May",4,"Sunday",2016,"Philadelphia, PA",261,29,0.1
"654","May",4,"Thursday",2015,"Philadelphia, PA",360,11,0.0296495956873315
"655","May",4,"Thursday",2016,"Philadelphia, PA",294,44,0.130177514792899
"656","May",4,"Tuesday",2015,"Philadelphia, PA",284,33,0.10410094637224
"657","May",4,"Tuesday",2016,"Philadelphia, PA",390,28,0.0669856459330144
"658","May",4,"Wednesday",2015,"Philadelphia, PA",314,34,0.0977011494252874
"659","May",4,"Wednesday",2016,"Philadelphia, PA",420,42,0.0909090909090909
"660","May",5,"Friday",2015,"Philadelphia, PA",325,26,0.0740740740740741
"661","May",5,"Friday",2016,"Philadelphia, PA",446,54,0.108
"662","May",5,"Monday",2015,"Philadelphia, PA",373,9,0.0235602094240838
"663","May",5,"Monday",2016,"Philadelphia, PA",459,60,0.115606936416185
"664","May",5,"Saturday",2015,"Philadelphia, PA",269,10,0.03584229390681
"665","May",5,"Saturday",2016,"Philadelphia, PA",256,17,0.0622710622710623
"666","May",5,"Sunday",2015,"Philadelphia, PA",86,18,0.173076923076923
"667","May",5,"Sunday",2016,"Philadelphia, PA",256,16,0.0588235294117647
"668","May",5,"Thursday",2015,"Philadelphia, PA",477,17,0.034412955465587
"669","May",5,"Thursday",2016,"Philadelphia, PA",447,29,0.0609243697478992
"670","May",5,"Tuesday",2015,"Philadelphia, PA",353,2,0.00563380281690141
"671","May",5,"Tuesday",2016,"Philadelphia, PA",498,48,0.0879120879120879
"672","May",5,"Wednesday",2015,"Philadelphia, PA",387,11,0.0276381909547739
"673","May",5,"Wednesday",2016,"Philadelphia, PA",470,47,0.0909090909090909
"674","May",6,"Monday",2016,"Philadelphia, PA",393,46,0.104783599088838
"675","May",6,"Tuesday",2016,"Philadelphia, PA",280,30,0.0967741935483871
"676","June",1,"Friday",2015,"Philadelphia, PA",268,21,0.0726643598615917
"677","June",1,"Friday",2016,"Philadelphia, PA",495,43,0.0799256505576208
"678","June",1,"Friday",2017,"Philadelphia, PA",675,89,0.116492146596859
"679","June",1,"Monday",2015,"Philadelphia, PA",66,13,0.164556962025316
"680","June",1,"Saturday",2015,"Philadelphia, PA",261,28,0.0968858131487889
"681","June",1,"Saturday",2016,"Philadelphia, PA",318,21,0.0619469026548673
"682","June",1,"Saturday",2017,"Philadelphia, PA",330,29,0.0807799442896936
"683","June",1,"Sunday",2014,"Philadelphia, PA",54,2,0.0357142857142857
"684","June",1,"Sunday",2015,"Philadelphia, PA",315,19,0.0568862275449102
"685","June",1,"Sunday",2016,"Philadelphia, PA",249,25,0.0912408759124088
"686","June",1,"Sunday",2017,"Philadelphia, PA",480,61,0.11275415896488
"687","June",1,"Thursday",2015,"Philadelphia, PA",159,11,0.0647058823529412
"688","June",1,"Thursday",2016,"Philadelphia, PA",425,41,0.0879828326180258
"689","June",1,"Thursday",2017,"Philadelphia, PA",458,53,0.103718199608611
"690","June",1,"Tuesday",2015,"Philadelphia, PA",306,26,0.0783132530120482
"691","June",1,"Wednesday",2015,"Philadelphia, PA",546,29,0.0504347826086957
"692","June",1,"Wednesday",2016,"Philadelphia, PA",362,54,0.129807692307692
"693","June",2,"Friday",2014,"Philadelphia, PA",273,15,0.0520833333333333
"694","June",2,"Friday",2015,"Philadelphia, PA",377,6,0.0156657963446475
"695","June",2,"Friday",2016,"Philadelphia, PA",468,50,0.0965250965250965
"696","June",2,"Friday",2017,"Philadelphia, PA",599,96,0.138129496402878
"697","June",2,"Monday",2015,"Philadelphia, PA",375,9,0.0234375
"698","June",2,"Monday",2016,"Philadelphia, PA",247,31,0.111510791366906
"699","June",2,"Monday",2017,"Philadelphia, PA",677,71,0.0949197860962567
"700","June",2,"Saturday",2014,"Philadelphia, PA",48,6,0.111111111111111
"701","June",2,"Saturday",2015,"Philadelphia, PA",297,7,0.0230263157894737
"702","June",2,"Saturday",2016,"Philadelphia, PA",414,23,0.0526315789473684
"703","June",2,"Saturday",2017,"Philadelphia, PA",362,28,0.0717948717948718
"704","June",2,"Sunday",2014,"Philadelphia, PA",122,14,0.102941176470588
"705","June",2,"Sunday",2015,"Philadelphia, PA",294,15,0.0485436893203883
"706","June",2,"Sunday",2016,"Philadelphia, PA",163,12,0.0685714285714286
"707","June",2,"Sunday",2017,"Philadelphia, PA",24,2,0.0769230769230769
"708","June",2,"Thursday",2014,"Philadelphia, PA",105,6,0.0540540540540541
"709","June",2,"Thursday",2015,"Philadelphia, PA",218,3,0.0135746606334842
"710","June",2,"Thursday",2016,"Philadelphia, PA",328,28,0.0786516853932584
"711","June",2,"Thursday",2017,"Philadelphia, PA",486,147,0.232227488151659
"712","June",2,"Tuesday",2014,"Philadelphia, PA",73,3,0.0394736842105263
"713","June",2,"Tuesday",2015,"Philadelphia, PA",467,1,0.00213675213675214
"714","June",2,"Tuesday",2016,"Philadelphia, PA",622,120,0.161725067385445
"715","June",2,"Tuesday",2017,"Philadelphia, PA",591,42,0.0663507109004739
"716","June",2,"Wednesday",2014,"Philadelphia, PA",125,7,0.053030303030303
"717","June",2,"Wednesday",2015,"Philadelphia, PA",297,5,0.0165562913907285
"718","June",2,"Wednesday",2016,"Philadelphia, PA",389,72,0.156182212581345
"719","June",2,"Wednesday",2017,"Philadelphia, PA",476,55,0.103578154425612
"720","June",3,"Friday",2014,"Philadelphia, PA",333,15,0.0431034482758621
"721","June",3,"Friday",2015,"Philadelphia, PA",345,9,0.0254237288135593
"722","June",3,"Friday",2016,"Philadelphia, PA",359,31,0.0794871794871795
"723","June",3,"Friday",2017,"Philadelphia, PA",667,59,0.081267217630854
"724","June",3,"Monday",2014,"Philadelphia, PA",175,12,0.0641711229946524
"725","June",3,"Monday",2015,"Philadelphia, PA",208,14,0.0630630630630631
"726","June",3,"Monday",2016,"Philadelphia, PA",239,26,0.0981132075471698
"727","June",3,"Monday",2017,"Philadelphia, PA",271,26,0.0875420875420875
"728","June",3,"Saturday",2014,"Philadelphia, PA",26,1,0.037037037037037
