"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"68","Jan.",3,"Friday",2017,"Philadelphia, PA",693,78,0.101167315175097
"69","Jan.",3,"Friday",2018,"Philadelphia, PA",196,17,0.07981220657277
"70","Jan.",3,"Monday",2015,"Philadelphia, PA",317,13,0.0393939393939394
"71","Jan.",3,"Monday",2016,"Boston, MA",219,25,0.102459016393443
"72","Jan.",3,"Monday",2016,"New York, NY",321,36,0.100840336134454
"73","Jan.",3,"Monday",2016,"Philadelphia, PA",504,37,0.0683918669131238
"74","Jan.",3,"Monday",2017,"Philadelphia, PA",611,41,0.0628834355828221
"75","Jan.",3,"Monday",2018,"Philadelphia, PA",442,16,0.0349344978165939
"76","Jan.",3,"Saturday",2015,"Philadelphia, PA",278,16,0.054421768707483
"77","Jan.",3,"Saturday",2016,"Boston, MA",123,14,0.102189781021898
"78","Jan.",3,"Saturday",2016,"New York, NY",52,2,0.037037037037037
"79","Jan.",3,"Saturday",2016,"Philadelphia, PA",369,27,0.0681818181818182
"80","Jan.",3,"Saturday",2017,"Philadelphia, PA",375,39,0.0942028985507246
"81","Jan.",3,"Saturday",2018,"Philadelphia, PA",244,7,0.0278884462151394
"82","Jan.",3,"Sunday",2015,"Philadelphia, PA",194,2,0.0102040816326531
"83","Jan.",3,"Sunday",2016,"Boston, MA",129,20,0.134228187919463
"84","Jan.",3,"Sunday",2016,"New York, NY",72,8,0.1
"85","Jan.",3,"Sunday",2016,"Philadelphia, PA",453,44,0.0885311871227364
"86","Jan.",3,"Sunday",2017,"Philadelphia, PA",401,19,0.0452380952380952
"87","Jan.",3,"Sunday",2018,"Philadelphia, PA",363,10,0.0268096514745308
"88","Jan.",3,"Thursday",2015,"Philadelphia, PA",310,14,0.0432098765432099
"89","Jan.",3,"Thursday",2016,"Boston, MA",144,20,0.121951219512195
"90","Jan.",3,"Thursday",2016,"New York, NY",236,12,0.0483870967741935
"91","Jan.",3,"Thursday",2016,"Philadelphia, PA",602,70,0.104166666666667
"92","Jan.",3,"Thursday",2017,"Philadelphia, PA",615,43,0.0653495440729483
"93","Jan.",3,"Thursday",2018,"Philadelphia, PA",341,28,0.0758807588075881
"94","Jan.",3,"Tuesday",2015,"Philadelphia, PA",544,52,0.087248322147651
"95","Jan.",3,"Tuesday",2016,"Boston, MA",176,26,0.128712871287129
"96","Jan.",3,"Tuesday",2016,"New York, NY",171,25,0.127551020408163
"97","Jan.",3,"Tuesday",2016,"Philadelphia, PA",373,66,0.150341685649203
"98","Jan.",3,"Tuesday",2017,"Philadelphia, PA",616,87,0.12375533428165
