"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"68","Jan.",3,"Friday",2017,"Philadelphia, PA",592,179,0.232166018158236
"69","Jan.",3,"Friday",2018,"Philadelphia, PA",185,28,0.131455399061033
"70","Jan.",3,"Monday",2015,"Philadelphia, PA",307,23,0.0696969696969697
"71","Jan.",3,"Monday",2016,"Boston, MA",197,47,0.192622950819672
"72","Jan.",3,"Monday",2016,"New York, NY",312,45,0.126050420168067
"73","Jan.",3,"Monday",2016,"Philadelphia, PA",482,59,0.1090573012939
"74","Jan.",3,"Monday",2017,"Philadelphia, PA",555,97,0.148773006134969
"75","Jan.",3,"Monday",2018,"Philadelphia, PA",406,52,0.11353711790393
"76","Jan.",3,"Saturday",2015,"Philadelphia, PA",269,25,0.0850340136054422
"77","Jan.",3,"Saturday",2016,"Boston, MA",119,18,0.131386861313869
"78","Jan.",3,"Saturday",2016,"New York, NY",48,6,0.111111111111111
"79","Jan.",3,"Saturday",2016,"Philadelphia, PA",349,47,0.118686868686869
"80","Jan.",3,"Saturday",2017,"Philadelphia, PA",338,76,0.183574879227053
"81","Jan.",3,"Saturday",2018,"Philadelphia, PA",223,28,0.111553784860558
"82","Jan.",3,"Sunday",2015,"Philadelphia, PA",188,8,0.0408163265306122
"83","Jan.",3,"Sunday",2016,"Boston, MA",116,33,0.221476510067114
"84","Jan.",3,"Sunday",2016,"New York, NY",62,18,0.225
"85","Jan.",3,"Sunday",2016,"Philadelphia, PA",389,108,0.217303822937626
"86","Jan.",3,"Sunday",2017,"Philadelphia, PA",339,81,0.192857142857143
"87","Jan.",3,"Sunday",2018,"Philadelphia, PA",337,36,0.096514745308311
"88","Jan.",3,"Thursday",2015,"Philadelphia, PA",297,27,0.0833333333333333
"89","Jan.",3,"Thursday",2016,"Boston, MA",129,35,0.213414634146341
"90","Jan.",3,"Thursday",2016,"New York, NY",230,18,0.0725806451612903
"91","Jan.",3,"Thursday",2016,"Philadelphia, PA",571,101,0.150297619047619
"92","Jan.",3,"Thursday",2017,"Philadelphia, PA",501,157,0.238601823708207
"93","Jan.",3,"Thursday",2018,"Philadelphia, PA",313,56,0.151761517615176
"94","Jan.",3,"Tuesday",2015,"Philadelphia, PA",531,65,0.109060402684564
"95","Jan.",3,"Tuesday",2016,"Boston, MA",159,43,0.212871287128713
"96","Jan.",3,"Tuesday",2016,"New York, NY",149,47,0.239795918367347
"97","Jan.",3,"Tuesday",2016,"Philadelphia, PA",337,102,0.232346241457859
"98","Jan.",3,"Tuesday",2017,"Philadelphia, PA",566,137,0.194879089615932
"99","Jan.",3,"Tuesday",2018,"Philadelphia, PA",532,69,0.114808652246256
"100","Jan.",3,"Wednesday",2015,"Philadelphia, PA",503,57,0.101785714285714
"101","Jan.",3,"Wednesday",2016,"Boston, MA",118,29,0.197278911564626
"102","Jan.",3,"Wednesday",2016,"New York, NY",132,35,0.209580838323353
"103","Jan.",3,"Wednesday",2016,"Philadelphia, PA",573,108,0.158590308370044
"104","Jan.",3,"Wednesday",2017,"Philadelphia, PA",580,337,0.367502726281352
"105","Jan.",3,"Wednesday",2018,"Philadelphia, PA",518,72,0.122033898305085
"106","Jan.",4,"Friday",2015,"Philadelphia, PA",470,60,0.113207547169811
"107","Jan.",4,"Friday",2016,"Boston, MA",216,86,0.28476821192053
"108","Jan.",4,"Friday",2016,"New York, NY",192,36,0.157894736842105
"109","Jan.",4,"Friday",2016,"Philadelphia, PA",645,98,0.131897711978466
"110","Jan.",4,"Friday",2017,"Philadelphia, PA",166,155,0.482866043613707
"111","Jan.",4,"Friday",2018,"Philadelphia, PA",390,83,0.175475687103594
