"","date","topic","city_state","smoothed_mean_within_day","year"
"76",2014-06-19,"Sports","Philadelphia, PA",3.44986963701468,2014
"77",2014-06-19,"Weather","Philadelphia, PA",10.233681409299,2014
"78",2014-06-20,"Politics","Philadelphia, PA",3.31963028524804,2014
"79",2014-06-20,"National Politics","Philadelphia, PA",1.08107997979139,2014
"80",2014-06-20,"Local Politics","Philadelphia, PA",2.21153853087185,2014
"81",2014-06-20,"Crime","Philadelphia, PA",8.21080245644812,2014
"82",2014-06-20,"Disaster","Philadelphia, PA",6.63520292166989,2014
"83",2014-06-20,"Sports","Philadelphia, PA",3.47888878296696,2014
"84",2014-06-20,"Weather","Philadelphia, PA",10.180878746613,2014
"85",2014-06-21,"Politics","Philadelphia, PA",3.3134522226798,2014
"86",2014-06-21,"National Politics","Philadelphia, PA",1.08075137537453,2014
"87",2014-06-21,"Local Politics","Philadelphia, PA",2.2104530599401,2014
"88",2014-06-21,"Crime","Philadelphia, PA",8.21307331301272,2014
"89",2014-06-21,"Disaster","Philadelphia, PA",6.59760941554307,2014
"90",2014-06-21,"Sports","Philadelphia, PA",3.50764263780423,2014
"91",2014-06-21,"Weather","Philadelphia, PA",10.1286690054638,2014
"92",2014-06-22,"Politics","Philadelphia, PA",3.30735154650221,2014
"93",2014-06-22,"National Politics","Philadelphia, PA",1.08044775242997,2014
"94",2014-06-22,"Local Politics","Philadelphia, PA",2.20938679121867,2014
"95",2014-06-22,"Crime","Philadelphia, PA",8.21537726017183,2014
"96",2014-06-22,"Disaster","Philadelphia, PA",6.56038127475434,2014
"97",2014-06-22,"Sports","Philadelphia, PA",3.53613242952768,2014
"98",2014-06-22,"Weather","Philadelphia, PA",10.0770551939996,2014
"99",2014-06-23,"Politics","Philadelphia, PA",3.30132987606817,2014
"100",2014-06-23,"National Politics","Philadelphia, PA",1.08016992302735,2014
"101",2014-06-23,"Local Politics","Philadelphia, PA",2.20834082569446,2014
"102",2014-06-23,"Crime","Philadelphia, PA",8.21771685541174,2014
"103",2014-06-23,"Disaster","Philadelphia, PA",6.52352010395619,2014
"104",2014-06-23,"Sports","Philadelphia, PA",3.5643593861385,2014
"105",2014-06-23,"Weather","Philadelphia, PA",10.0260403203685,2014
"106",2014-06-24,"Politics","Philadelphia, PA",3.29538883073055,2014
"107",2014-06-24,"National Politics","Philadelphia, PA",1.07991869923632,2014
"108",2014-06-24,"Local Politics","Philadelphia, PA",2.20731626435435,2014
"109",2014-06-24,"Crime","Philadelphia, PA",8.22009465621874,2014
"110",2014-06-24,"Disaster","Philadelphia, PA",6.48702750780111,2014
"111",2014-06-24,"Sports","Philadelphia, PA",3.59232473563789,2014
"112",2014-06-24,"Weather","Philadelphia, PA",9.97562739271874,2014
"113",2014-06-25,"Politics","Philadelphia, PA",3.28953002984226,2014
"114",2014-06-25,"National Politics","Philadelphia, PA",1.0796948931265,2014
"115",2014-06-25,"Local Politics","Philadelphia, PA",2.20631420818521,2014
